Dwayne Johnson;Hab keine Angst, ehrgeizige Ziele zu verfolgen. Harte Arbeit hört nie auf. Und deine Träume sollten es auch nicht sein.
Kobe Bryant;Wenn du nicht an dich glaubst, wird es auch keiner sonst tun.
Arnold Schwarzenegger;Stärke kommt nicht von Gewinnen. Du wächst an Deinen Herausforderungen. Wenn du auf Widerstände triffst und Dich entscheidest dranzubleiben, das ist Stärke.
Muhammad Ali;Wenn mein Kopf es sich ausdenken kann, wenn mein Herz daran glauben kann – dann kann ich es auch erreichen.
Martina Navratilova;Um nach vorne zu kommen und dort zu bleiben, kommt es nicht darauf an, wie gut Du bist, wenn Du gut bist, sondern wie gut Du bist, wenn Du schlecht bist.
Kareem Abdul-Jabbar;Du kannst nur gewinnen, wenn du lernst, wie man verliert.
Tony Hawk;Ich glaube, die Menschen sollten stolz darauf sein, was sie tun, selbst wenn es von der breiten Öffentlichkeit verhöhnt oder missverstanden wird.
Michael Jordan;Ich kann Scheitern akzeptieren, jeder scheitert bei etwas. Aber was ich nicht akzeptieren kann ist, es nicht versucht zu haben.
Billie Jean King;Sieger spielen solange, bis sie es richtig machen.
Jim Valvano;Gib niemals auf! Misserfolge und Rückschläge sind nur der erste Schritt zum Erfolg.
Serena Williams;Jeder Traum kann wahr werden, wenn man ihn nur nicht aus den Augen verliert und hart an ihm arbeitet.
Alex Morgan;Setze deinen Träumen keine Grenzen, denn Träume werden wahr.
Bo Jackson;Setze deine Ziele hoch, und höre nicht auf, bis du ankommst.
Michael Owen;Wer im Training immer nur 90 Prozent gibt, wird auch im entscheidenden Moment nur 90 Prozent geben.
Vince Lombardi;Erfolg ist keine Zufälligkeit, sondern harte Arbeit.
Dirk Nowitzki;Wenn du alles gibst, kannst du dir nichts vorwerfen!
Charles Barkley;Wenn Sie Angst vor dem Scheitern haben, haben Sie es nicht verdient, erfolgreich zu sein!
Bethany Hamilton;Mut bedeutet nicht, dass du keine Angst hast. Mut bedeutet, dass du dich nicht von Angst aufhalten lässt.
Andre Agassi;Was etwas Besonderes ausmacht, ist nicht nur das, was du gewinnen musst, sondern auch das, was du zu verlieren glaubst.
Lionel Messi;Ein Athlet kann nicht mit Geld in der Tasche laufen. Er muss mit Hoffnung in seinem Herzen und Träumen in seinem Kopf laufen.
Derek Jeter;Es mag Menschen geben, die mehr Talent haben als du, aber es gibt keine Entschuldigung dafür, dass jemand härter arbeitet als du.
Kareem Abdul-Jabbar;Talent ist wichtig, aber harte Arbeit ist entscheidend.
Mike Ditka;Du bist nie ein Verlierer, bis du aufhörst, es zu versuchen.
Jörg Löhr;Das große Meisterstück des Lebens besteht darin, Ziele zu erreichen und die Gegenwart bewusst zu erleben.
Walt Disney;Der Unterschied zwischen einem Gewinner und einem Verlierer ist oft nicht aufgeben.
Paul Brown;Man lernt eine Zeile von einem Sieg und ein Buch aus einer Niederlage.
Gabby Douglas;Harte Tage sind die besten, denn dann werden Champions gemacht.
Muhammad Ali;Niederlagen sind keine Niederlagen, es sei denn, sie besiegen dich.
Tim Notke;Harte Arbeit besiegt Talent, wenn Talent nicht hart genug arbeitet.
Kobe Bryant;Viele Leute sagen, sie wollen großartig sein, aber sie sind nicht bereit, die Opfer zu bringen, die notwendig sind, um Größe zu erreichen.
Andre Agassi;Was etwas besonders macht, ist nicht nur das, was man gewinnt, sondern auch das, was man zu verlieren glaubt.
Fred Devito;Wenn es Sie nicht herausfordert, wird es Sie nicht verändern.
Michael Jordan;Talent gewinnt das Match, aber Teamwork und Intelligenz gewinnen die Meisterschaften.
Dwayne Johnson;Blut, Schweiß und Respekt. Die ersten Beiden gibst du, Letzteres wirst du erhalten.
Dirk Nowitzki;Das schlimmste, was man als Schütze tun kann, ist zögern. Man muss immer daran glauben, dass der nächste Wurf sitzt.
Niki Lauda;Ich glaube, dass jeder Autorennfahrer einmal zur Vernunft kommen muss, um mit diesem pubertären Sport aufzuhören.
Charles Barkley;Wenn Sie Angst vor dem Scheitern haben, haben Sie es nicht verdient, erfolgreich zu sein.
Ion Tiriac;Zu meiner aktiven Zeit war ich der beste Tennisspieler der Welt ohne Talent.
Michael Jordan;Manche wollen es, manche wünschen es und andere verwirklichen es.
Xavi Hernandez;Jeder einzelne Spieler muss wissen, wie wichtig seine Rolle auf dem Spielfeld ist.
Cristiano Ronaldo;Träume großen Träumen und arbeite hart, um sie zu erreichen.
Usain Bolt;Gewinnen ist Gewohnheit, nicht eine Ausnahme.
Roger Federer;Du kannst nur dein Bestes geben, nicht mehr.
Mia Hamm;Squash ist eine Einstellung, kein Sport.
Tiger Woods;Ziele sind Träume mit Fristen.
Michael Phelps;Es geht nicht nur um Talent, sondern vor allem um den Willen, besser zu werden.
Venus Williams;Wer aufgibt, hat schon verloren.
Sachin Tendulkar;Glaube an dich und an das, was du kannst.